Time (Billion Years),Scale Factor (a(t))
1e-07,0.00031622776601683794
0.1393940383838384,0.2688413908014201
0.2787879767676768,0.42675900451974375
0.4181819151515152,0.5592124496732429
0.5575758535353535,0.6774376117135839
0.696969791919192,0.7860966947018083
0.8363637303030304,0.8876943601267827
0.9757576686868688,0.9837724331646398
1.1151516070707073,1.0753651131888422
1.2545455454545456,1.1632086465885119
1.393939483838384,1.2478506604385655
1.5333334222222226,1.3297124491326697
1.6727273606060609,1.4091269049306412
1.8121212989898992,1.4863628541504486
1.9515152373737377,1.561641341954871
2.090909175757576,1.6351469137335708
2.2303031141414142,1.7070356609003496
2.3696970525252525,1.7774411029148771
2.509090990909091,1.8464785801920862
2.6484849292929296,1.91424859645892
2.787878867676768,1.980839403711494
2.927272806060606,2.0463290305826476
3.066666744444445,2.1107868946817403
3.206060682828283,2.1742750992094937
3.3454546212121214,2.236849486668695
3.4848485595959597,2.2985605033687513
3.624242497979798,2.359453914883552
3.7636364363636368,2.41957140288536
3.903030374747475,2.478951066673862
4.042424313131314,2.5376278474685026
4.1818182515151525,2.5956338896035556
4.321212189898991,2.6529988497931423
4.460606128282829,2.709750163361463
4.600000066666667,2.765913274580196
4.739394005050506,2.821511836889808
4.878787943434344,2.8765678877096867
5.018181881818182,2.931102001693905
5.157575820202021,2.9851334256134474
5.29696975858586,3.038680197503281
5.436363696969698,3.091759252274505
5.575757635353536,3.1443865156357615
5.715151573737375,3.1965769878771195
5.854545512121213,3.2483448188305273
5.993939450505051,3.2997033751234266
6.13333338888889,3.3506653006782097
6.272727327272729,3.4012425712735057
6.412121265656567,3.451446543868807
6.551515204040405,3.5012880012976533
6.6909091424242435,3.550777192853293
6.830303080808082,3.5999238712218213
6.96969701919192,3.6487373261591447
7.109090957575758,3.6972264152580765
7.248484895959597,3.745399592108982
7.387878834343436,3.7932649321205347
7.527272772727274,3.8408301562353793
7.666666711111112,3.8881026527480484
7.806060649494951,3.9350894974086486
7.945454587878789,3.9817974719751383
8.084848526262627,4.028233081358984
8.224242464646466,4.074402569493191
8.363636403030304,4.120311934037927
8.503030341414142,4.1659669400267685
8.64242427979798,4.211373132546008
8.781818218181819,4.256535848529957
8.921212156565657,4.301460227746922
9.060606094949495,4.4552889122671
9.200000033333334,4.7656101601172045
9.339393971717172,5.097546005530691
9.47878791010101,5.452601955562145
9.618181848484848,5.832388379338411
9.757575786868687,6.238627811946107
9.896969725252525,6.673162767051938
10.036363663636363,7.137964093690185
10.175757602020203,7.635139915119925
10.315151540404042,8.166945190294438
10.45454547878788,8.735791941309277
10.593939417171718,9.344260193215872
10.733333355555557,9.995109675818622
10.872727293939395,10.691292340529444
11.012121232323233,11.435965749050355
11.151515170707071,12.232507394608987
11.29090910909091,13.08453002070151
11.430303047474748,13.99589800682165
11.569696985858586,14.970744895493935
11.709090924242425,16.013492140105566
11.848484862626263,17.128869158568488
11.987878801010101,18.321934783765695
12.12727273939394,19.598100208071077
12.26666667777778,20.96315352600852
12.406060616161618,22.423285986364284
12.545454554545456,23.985120072820308
12.684848492929294,25.65573954046888
12.824242431313133,27.44272154444049
12.963636369696971,29.354171006365572
13.10303030808081,31.398757374540168
13.242424246464648,33.585753944522835
13.381818184848486,35.925079918502696
13.521212123232324,38.427345394200344
13.660606061616162,41.10389948735058
13.8,43.96688180602792
